area_code,area_name
update i18n_areas set area_name = "Zone 70" where locale = "en" and parent_code = "QA-DA" and area_code = "QA-DA-0";
update i18n_areas set area_name = "Zone 70" where locale = "ar" and parent_code = "QA-DA" and area_code = "QA-DA-0";
update i18n_areas set area_name = "Zone 69" where locale = "en" and parent_code = "QA-DA" and area_code = "QA-DA-1";
update i18n_areas set area_name = "Zone 69" where locale = "ar" and parent_code = "QA-DA" and area_code = "QA-DA-1";
update i18n_areas set area_name = "Zone 65" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-0";
update i18n_areas set area_name = "Zone 65" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-0";
update i18n_areas set area_name = "Zone 63" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-1";
update i18n_areas set area_name = "Zone 63" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-1";
update i18n_areas set area_name = "Zone 25" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-10";
update i18n_areas set area_name = "Zone 25" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-10";
update i18n_areas set area_name = "Zone 23" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-11";
update i18n_areas set area_name = "Zone 23" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-11";
update i18n_areas set area_name = "Zone 62" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-12";
update i18n_areas set area_name = "Zone 62" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-12";
update i18n_areas set area_name = "Zone 57" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-13";
update i18n_areas set area_name = "Zone 57" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-13";
update i18n_areas set area_name = "Zone 51" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-14";
update i18n_areas set area_name = "Zone 51" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-14";
update i18n_areas set area_name = "Zone 33" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-15";
update i18n_areas set area_name = "Zone 33" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-15";
update i18n_areas set area_name = "Zone 44" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-16";
update i18n_areas set area_name = "Zone 44" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-16";
update i18n_areas set area_name = "Zone 18" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-17";
update i18n_areas set area_name = "Zone 18" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-17";
update i18n_areas set area_name = "Zone 14" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-18";
update i18n_areas set area_name = "Zone 14" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-18";
update i18n_areas set area_name = "Zone 12" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-19";
update i18n_areas set area_name = "Zone 12" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-19";
update i18n_areas set area_name = "Zone 61" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-2";
update i18n_areas set area_name = "Zone 61" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-2";
update i18n_areas set area_name = "Zone 07" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-20";
update i18n_areas set area_name = "Zone 07" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-20";
update i18n_areas set area_name = "Zone 68" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-21";
update i18n_areas set area_name = "Zone 68" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-21";
update i18n_areas set area_name = "Zone 67" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-22";
update i18n_areas set area_name = "Zone 67" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-22";
update i18n_areas set area_name = "Zone 49" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-23";
update i18n_areas set area_name = "Zone 49" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-23";
update i18n_areas set area_name = "Zone 47" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-24";
update i18n_areas set area_name = "Zone 47" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-24";
update i18n_areas set area_name = "Zone 43" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-25";
update i18n_areas set area_name = "Zone 43" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-25";
update i18n_areas set area_name = "Zone 41" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-26";
update i18n_areas set area_name = "Zone 41" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-26";
update i18n_areas set area_name = "Zone 37" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-27";
update i18n_areas set area_name = "Zone 37" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-27";
update i18n_areas set area_name = "Zone 32" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-28";
update i18n_areas set area_name = "Zone 32" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-28";
update i18n_areas set area_name = "Zone 24" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-29";
update i18n_areas set area_name = "Zone 24" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-29";
update i18n_areas set area_name = "Zone 60" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-3";
update i18n_areas set area_name = "Zone 60" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-3";
update i18n_areas set area_name = "Zone 19" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-30";
update i18n_areas set area_name = "Zone 19" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-30";
update i18n_areas set area_name = "Zone 13" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-31";
update i18n_areas set area_name = "Zone 13" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-31";
update i18n_areas set area_name = "Zone 04" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-32";
update i18n_areas set area_name = "Zone 04" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-32";
update i18n_areas set area_name = "Zone 66" where locale = "en" and parent_code = "QA-DH" and area_code = "QA-DH-33";
update i18n_areas set area_name = "Zone 66" where locale = "ar" and parent_code = "QA-DH" and area_code = "QA-DH-33";
